"symbol","date","market_cap"
"ICBP.JK",2020-12-01,1.11663e+14
"BBNI.JK",2020-12-01,1.14004e+14
"TPIA.JK",2020-12-01,1.61839e+14
"HMSP.JK",2020-12-01,1.75059e+14
"ASII.JK",2020-12-01,2.43913e+14
"UNVR.JK",2020-12-01,2.80403e+14
"BMRI.JK",2020-12-01,2.92215e+14
"TLKM.JK",2020-12-01,3.27896e+14
"BBRI.JK",2020-12-01,5.09209e+14
"BBCA.JK",2020-12-01,8.26226e+14
"ICBP.JK",2021-01-01,1.06123e+14
"EMTK.JK",2021-01-01,1.07235e+14
"HMSP.JK",2021-01-01,1.52377e+14
"TPIA.JK",2021-01-01,1.81456e+14
"ASII.JK",2021-01-01,2.4695e+14
"UNVR.JK",2021-01-01,2.64189e+14
"BMRI.JK",2021-01-01,3.03765e+14
"TLKM.JK",2021-01-01,3.08083e+14
"BBRI.JK",2021-01-01,5.1043e+14
"BBCA.JK",2021-01-01,8.25006e+14
"EMTK.JK",2021-02-01,1.19087e+14
"BRIS.JK",2021-02-01,1.19422e+14
"HMSP.JK",2021-02-01,1.55285e+14
"TPIA.JK",2021-02-01,1.73877e+14
"ASII.JK",2021-02-01,2.18611e+14
"UNVR.JK",2021-02-01,2.6705e+14
"BMRI.JK",2021-02-01,2.8413e+14
"TLKM.JK",2021-02-01,3.45727e+14
"BBRI.JK",2021-02-01,5.75149e+14
"BBCA.JK",2021-02-01,8.18904e+14
"ARTO.JK",2021-03-01,1.33405e+14
"EMTK.JK",2021-03-01,1.38918e+14
"HMSP.JK",2021-03-01,1.59937e+14
"TPIA.JK",2021-03-01,1.98398e+14
"ASII.JK",2021-03-01,2.13551e+14
"UNVR.JK",2021-03-01,2.50836e+14
"BMRI.JK",2021-03-01,2.8413e+14
"TLKM.JK",2021-03-01,3.38793e+14
"BBRI.JK",2021-03-01,5.37294e+14
"BBCA.JK",2021-03-01,7.58493e+14
"EMTK.JK",2021-04-01,1.37082e+14
"ARTO.JK",2021-04-01,1.39235e+14
"HMSP.JK",2021-04-01,1.5354e+14
"TPIA.JK",2021-04-01,1.79673e+14
"ASII.JK",2021-04-01,2.2266e+14
"UNVR.JK",2021-04-01,2.289e+14
"BMRI.JK",2021-04-01,2.85285e+14
"TLKM.JK",2021-04-01,3.16999e+14
"BBRI.JK",2021-04-01,4.94555e+14
"BBCA.JK",2021-04-01,7.81681e+14
"TPIA.JK",2021-05-01,1.41331e+14
"EMTK.JK",2021-05-01,1.43814e+14
"HMSP.JK",2021-05-01,1.47724e+14
"ARTO.JK",2021-05-01,1.6667e+14
"ASII.JK",2021-05-01,2.12539e+14
"UNVR.JK",2021-05-01,2.23178e+14
"BMRI.JK",2021-05-01,2.772e+14
